loss_id,location_id,account_id,loss_date,peril,paid_amount,reserved_amount,cat_code
LR-0001,HAB-2001-A,GR-2001,2025-08-19,Water,6258.27,0.00,
LR-0002,HAB-2004-A,GR-2004,2024-12-12,Theft,19135.01,797.29,
LR-0003,HAB-2007-A,GR-2007,2025-03-02,Slip-Fall,8252.05,1019.92,
LR-0004,HAB-2010-A,GR-2010,2025-04-11,Slip-Fall,4321.54,948.63,
LR-0005,HAB-2013-A,GR-2013,2024-11-15,Water,7327.91,5092.28,
LR-0006,HAB-2016-A,GR-2016,2024-03-17,Theft,5117.35,7066.81,
LR-0007,HAB-2018-A,GR-2018,2024-05-09,Slip-Fall,4860.00,540.00,
LR-0008,HAB-2021-A,GR-2021,2024-06-02,Slip-Fall,3187.50,8196.43,
LR-0009,HAB-2024-A,GR-2024,2025-06-03,Water,18627.93,0.00,
LR-0010,HAB-2027-A,GR-2027,2024-05-17,Theft,5943.03,247.63,
LR-0011,HAB-2030-A,GR-2030,2024-06-12,Theft,5249.75,648.85,
LR-0012,HAB-2033-B,GR-2033,2024-08-30,Slip-Fall,6120.0,0.0,
LR-0013,HAB-2036-A,GR-2036,2024-10-15,Water,9053.90,1987.44,
LR-0014,HAB-2039-A,GR-2039,2024-08-26,Slip-Fall,5581.86,3878.92,
LR-0015,HAB-2042-A,GR-2042,2025-06-24,Slip-Fall,7437.79,10271.24,
LR-0016,HAB-2045-A,GR-2045,2025-01-31,Theft,3643.77,9369.69,
LR-0017,HAB-2047-A,GR-2047,2024-02-18,Water,3600.00,1200.00,
LR-0018,HAB-2050-A,GR-2050,2023-12-07,Water,11511.30,0.00,
LR-0019,HAB-2053-A,GR-2053,2024-11-22,Water,11396.76,474.87,
LR-0020,HAB-2056-A,GR-2056,2024-05-23,Theft,8868.43,1096.10,
LR-0021,HAB-2059-A,GR-2059,2024-07-30,Water,18263.79,4009.13,
LR-0022,HAB-2062-A,GR-2062,2023-10-31,Theft,7675.51,5333.83,
LR-0023,HAB-2065-A,GR-2065,2024-11-22,Water,1896.74,2619.31,
LR-0024,HAB-2068-A,GR-2068,2025-04-15,Water,2075.40,5336.73,
LR-0025,HAB-2071-A,GR-2071,2024-04-04,Theft,4796.53,0.00,
LR-0026,HAB-2074-A,GR-2074,2024-08-26,Theft,6309.00,262.88,
LR-0027,HAB-2077-A,GR-2077,2025-04-14,Water,16871.08,2085.19,
LR-0028,HAB-2080-A,GR-2080,2025-03-30,Slip-Fall,8604.65,1888.82,
LR-0029,HAB-2083-A,GR-2083,2024-11-24,Theft,4735.87,3291.02,
LR-0030,HAB-2086-A,GR-2086,2024-03-11,Slip-Fall,10667.35,14731.10,
LR-0031,HAB-2089-A,GR-2089,2024-06-28,Water,6580.00,2840.00,
LR-0032,HAB-2092-A,GR-2092,2024-05-05,Theft,3702.53,9520.79,
LR-0033,HAB-2113-A,GR-2113,2024-07-03,Theft,5560.00,2400.00,
LR-0034,HAB-2113-B,GR-2113,2024-11-21,GL,4980.0,0.0,
LR-0035,HAB-2162-A,GR-2162,2024-03-27,Slip-Fall,5240.0,0.0,
LR-0036,HAB-2162-C,GR-2162,2024-09-14,Fire,187640.0,72480.0,
LR-0037,HAB-2195-A,GR-2195,2024-08-02,Fire,43060.00,0.00,
LR-0038,HAB-2195-A,GR-2195,2024-04-11,Water,22680.0,0.0,
LR-0039,HAB-2195-B,GR-2195,2024-10-19,Wind,28440.0,18620.0,
LR-0040,HAB-2195-B,GR-2195,2024-01-06,Slip-Fall,19880.0,9420.0,
LR-0041,HAB-2200-A,GR-2200,2024-01-14,Theft,13137.04,547.38,
LR-0042,HAB-2071-A,GR-2071,2024-08-19,Wind,284600.0,0.0,CAT-2408
