invoice_id,invoice_date,ship_date,counterparty,counterparty_code,description,amount_usd,fob_terms,status_flag,bol_or_ref,notes
INV-AR-8601,2026-06-12,2026-06-12,Northline Canada Ltd,NLC,Prior period - settled July sweep,44220.18,FOB_ShippingPoint,Settled,BOL-8601,Paid 2026-07-08
INV-AR-8612,2026-06-20,2026-06-21,Northline Mexico SA de CV,NLM,Prior period - settled July sweep,28110.40,FOB_ShippingPoint,Settled,BOL-8612,Paid 2026-07-08
INV-AR-8620,2026-07-02,2026-07-03,Northline Canada Ltd,NLC,Prior period - settled July sweep,19880.55,FOB_ShippingPoint,Settled,BOL-8620,Paid 2026-07-08
INV-AR-8633,2026-07-08,2026-07-09,Northline Mexico SA de CV,NLM,Prior period - settled July sweep,33440.22,FOB_ShippingPoint,Settled,BOL-8633,Paid 2026-07-08
INV-AR-8640,2026-07-18,2026-07-18,Northline Canada Ltd,NLC,Prior period - settled Aug 5 wire,12640.18,n/a,Settled,MSA-NLC,Mgmt fee June remainder
INV-AR-8655,2026-07-22,2026-07-23,Northline Mexico SA de CV,NLM,Prior period - settled Aug 5 wire,21220.40,FOB_ShippingPoint,Settled,BOL-8655,
INV-AR-8660,2026-07-28,2026-07-29,Northline Canada Ltd,NLC,Prior period - settled Aug 5 wire,8880.22,FOB_ShippingPoint,Settled,BOL-8660,
INV-AR-8668,2026-07-30,2026-07-30,Northline Mexico SA de CV,NLM,Prior period - settled Aug 5 wire,15110.55,FOB_ShippingPoint,Settled,BOL-8668,
INV-AR-8688,2026-08-04,2026-08-05,Northline Mexico SA de CV,NLM,Consumables / tooling inserts,38820.40,FOB_ShippingPoint,Open,BOL-8688-MX,Received 8/8
INV-AR-8702,2026-08-01,2026-08-01,Northline Canada Ltd,NLC,Engineering support hours - August,6420.18,n/a,Open,TS-8702,Service; no BOL
INV-AR-8708,2026-08-03,2026-08-03,Northline Mexico SA de CV,NLM,Engineering support hours - August,5880.40,n/a,Open,TS-8708,Service; no BOL
INV-AR-8715,2026-08-06,2026-08-07,Northline Canada Ltd,NLC,Fixture repair billable,9220.55,FOB_ShippingPoint,Open,BOL-8715-CA,Received 8/9
INV-AR-8722,2026-08-08,2026-08-09,Northline Mexico SA de CV,NLM,Fixture repair billable,7640.18,FOB_ShippingPoint,Open,BOL-8722-MX,Received 8/11
INV-AR-8730,2026-08-10,2026-08-10,Northline Canada Ltd,NLC,IT shared services August,4110.22,n/a,Open,IT-ALLOC-08,
INV-AR-8738,2026-08-13,2026-08-13,Northline Mexico SA de CV,NLM,IT shared services August,3880.40,n/a,Open,IT-ALLOC-08,
