location_id,account_id,address_city,state,building_tiv,protection_class,coastal_wind_zone,vacancy_flag,mitigation_status,broker_confirmation
ORL-1001-A,SI-1001,Greenville,NC,5300430.0,5,,N,complete,yes
ORL-1001-B,SI-1001,Macon,SC,5429238.0,4,,N,complete,yes
ORL-1004-A,SI-1004,Macon,TN,6242383.0,3,,N,complete,yes
ORL-1004-B,SI-1004,Macon,SC,6245907.0,6,,N,complete,yes
ORL-1007-A,SI-1007,Birmingham,GA,2633531.0,6,,N,complete,yes
ORL-1007-B,SI-1007,Chattanooga,TN,3435772.0,4,,N,complete,yes
ORL-1010-A,SI-1010,Birmingham,GA,6252006.0,3,,N,complete,yes
ORL-1010-B,SI-1010,Greenville,AL,7761609.0,6,,N,complete,yes
ORL-1015-A,SI-1015,Birmingham,SC,2924829.0,3,,N,complete,yes
ORL-1015-B,SI-1015,Chattanooga,TN,3279027.0,5,,N,complete,yes
ORL-1018-A,SI-1018,Greenville,AL,2440818.0,5,,N,complete,yes
ORL-1018-B,SI-1018,Greenville,AL,2601557.0,5,,N,complete,yes
ORL-1021-A,SI-1021,Birmingham,AL,4001883.0,3,,N,complete,yes
ORL-1021-B,SI-1021,Chattanooga,GA,3358679.0,5,,N,complete,yes
ORL-1021-C,SI-1021,Birmingham,AL,3926777.0,3,,N,complete,yes
ORL-1024-A,SI-1024,Chattanooga,GA,6015236.0,4,,N,complete,yes
ORL-1024-B,SI-1024,Chattanooga,NC,7009660.0,5,,N,complete,yes
ORL-1027-A,SI-1027,Birmingham,TN,3264945.0,3,,N,complete,yes
ORL-1027-B,SI-1027,Greenville,AL,3854126.0,4,,N,complete,yes
ORL-1030-A,SI-1030,Greenville,SC,6530349.0,3,,N,complete,yes
ORL-1030-B,SI-1030,Birmingham,NC,7068572.0,5,,N,complete,yes
ORL-1033-A,SI-1033,Greenville,NC,2539765.0,3,,N,complete,yes
ORL-1033-B,SI-1033,Macon,AL,2465130.0,4,,Y,complete,no
ORL-1036-A,SI-1036,Greenville,SC,7548054.0,4,,N,complete,yes
ORL-1036-B,SI-1036,Birmingham,TN,7274374.0,5,,N,complete,yes
ORL-1039-A,SI-1039,Macon,SC,6304637.0,4,,N,complete,yes
ORL-1039-B,SI-1039,Greenville,TN,5244750.0,4,,N,complete,yes
ORL-1042-A,SI-1042,Chattanooga,NC,3110283.0,6,,N,complete,yes
ORL-1042-B,SI-1042,Chattanooga,TN,3133092.0,5,,N,complete,yes
ORL-1042-C,SI-1042,Chattanooga,SC,3490878.0,6,,N,complete,yes
ORL-1045-A,SI-1045,Tampa,FL,3016334.0,5,CW-2,N,complete,yes
ORL-1045-B,SI-1045,Greenville,SC,2316590.0,6,,N,complete,yes
ORL-1048-A,SI-1048,Macon,NC,4927019.0,3,,N,complete,yes
ORL-1048-B,SI-1048,Birmingham,NC,5342427.0,3,,N,complete,yes
ORL-1051-A,SI-1051,Macon,SC,2658905.0,6,,N,complete,yes
ORL-1051-B,SI-1051,Birmingham,AL,3109725.0,4,,N,complete,yes
ORL-1054-A,SI-1054,Greenville,GA,2760605.0,5,,N,complete,yes
ORL-1054-B,SI-1054,Birmingham,GA,2864782.0,3,,N,complete,yes
ORL-1057-A,SI-1057,Birmingham,GA,6882993.0,6,,N,complete,yes
ORL-1057-B,SI-1057,Macon,SC,6275146.0,6,,N,complete,yes
ORL-1060-A,SI-1060,Greenville,GA,5897216.0,5,,N,complete,yes
ORL-1060-B,SI-1060,Greenville,GA,5124660.0,5,,N,complete,yes
ORL-1063-A,SI-1063,Chattanooga,NC,6535555.0,3,,N,complete,yes
ORL-1063-B,SI-1063,Macon,AL,5105155.0,6,,N,complete,yes
ORL-1066-A,SI-1066,Chattanooga,TN,4573435.0,6,,N,complete,yes
ORL-1066-B,SI-1066,Greenville,NC,4096914.0,5,,N,complete,yes
ORL-1069-A,SI-1069,Birmingham,SC,2791081.0,3,,N,complete,yes
ORL-1069-B,SI-1069,Chattanooga,SC,2813400.0,6,,N,complete,yes
ORL-1072-A,SI-1072,Mobile,AL,5997975.0,5,CW-1,N,complete,yes
ORL-1072-B,SI-1072,Greenville,AL,6848292.0,4,,N,complete,yes
ORL-1075-A,SI-1075,Chattanooga,AL,1930912.0,5,,N,complete,yes
ORL-1075-B,SI-1075,Chattanooga,TN,1593319.0,5,,N,complete,yes
ORL-1078-A,SI-1078,Macon,SC,3545132.0,3,,N,complete,yes
ORL-1078-B,SI-1078,Macon,TN,4425455.0,3,,N,complete,yes
ORL-1081-A,SI-1081,Birmingham,NC,4307672.0,4,,N,complete,yes
ORL-1081-B,SI-1081,Birmingham,AL,5202804.0,6,,N,complete,yes
ORL-1084-A,SI-1084,Birmingham,NC,3753523.0,4,,N,complete,yes
ORL-1084-B,SI-1084,Greenville,TN,3394101.0,4,,N,complete,yes
ORL-1088-A,SI-1088,Macon,AL,4272661.0,3,,N,pending_roof_po,yes
ORL-1088-B,SI-1088,Macon,AL,4254210.0,6,,N,complete,yes
ORL-1091-A,SI-1091,Birmingham,TN,4578374.0,6,,N,complete,yes
ORL-1091-B,SI-1091,Birmingham,SC,4409898.0,5,,N,complete,yes
ORL-1094-A,SI-1094,Birmingham,SC,3591743.0,6,,N,complete,yes
ORL-1094-B,SI-1094,Pensacola,FL,3481803.0,3,CW-2,N,complete,yes
ORL-1097-A,SI-1097,Macon,GA,3896537.0,6,,N,complete,yes
ORL-1097-B,SI-1097,Birmingham,GA,4437588.0,3,,N,complete,yes
ORL-1100-A,SI-1100,Greenville,SC,2083704.0,5,,N,complete,yes
ORL-1100-B,SI-1100,Chattanooga,NC,2301450.0,4,,N,complete,yes
ORL-1103-A,SI-1103,Chattanooga,NC,4642381.0,6,,N,complete,yes
ORL-1103-B,SI-1103,Chattanooga,AL,5431068.0,3,,N,complete,yes
ORL-1106-A,SI-1106,Biloxi,MS,5075096.0,6,CW-1,N,complete,yes
ORL-1106-B,SI-1106,Greenville,AL,4486576.0,3,,N,complete,yes
ORL-1109-A,SI-1109,Macon,GA,5155913.0,5,,N,complete,yes
ORL-1109-B,SI-1109,Birmingham,TN,6537650.0,4,,N,complete,yes
ORL-1112-A,SI-1112,Birmingham,NC,4789828.0,5,,N,complete,yes
ORL-1112-B,SI-1112,Chattanooga,NC,4977007.0,5,,N,complete,yes
ORL-1156-A,SI-1156,Birmingham,AL,6945717.0,5,,N,complete,yes
ORL-1156-B,SI-1156,Chattanooga,SC,7233082.0,3,,N,complete,yes
