loss_id,location_id,account_id,loss_date,peril,paid_amount,reserved_amount,cat_code
LR-0001,ORL-1001-A,SI-1001,2024-06-15,Wind,20971.99,8155.77,
LR-0002,ORL-1004-A,SI-1004,2024-06-15,Wind,8779.71,3414.33,
LR-0003,ORL-1007-A,SI-1007,2024-06-15,Wind,6429.85,2500.5,
LR-0004,ORL-1010-A,SI-1010,2024-06-15,Wind,21296.44,8281.95,
LR-0005,ORL-1015-A,SI-1015,2024-03-14,Water,9840.0,5120.0,
LR-0006,ORL-1018-A,SI-1018,2024-06-15,Theft,10666.86,4148.22,
LR-0007,ORL-1021-A,SI-1021,2024-06-02,Theft,6420.0,2180.0,
LR-0008,ORL-1021-B,SI-1021,2024-09-18,GL,5180.0,0.0,
LR-0009,ORL-1024-A,SI-1024,2024-06-15,Theft,4985.68,1938.88,
LR-0010,ORL-1027-A,SI-1027,2024-06-15,Water,12039.68,4682.1,
LR-0011,ORL-1030-A,SI-1030,2024-06-15,Theft,12313.46,4788.57,
LR-0012,ORL-1033-A,SI-1033,2024-01-27,Water,8240.0,1920.0,
LR-0013,ORL-1036-A,SI-1036,2024-06-15,Water,12789.47,4973.68,
LR-0014,ORL-1039-A,SI-1039,2024-06-15,Wind,12780.98,4970.38,
LR-0015,ORL-1042-A,SI-1042,2024-02-11,Fire,4820.0,0.0,
LR-0016,ORL-1042-B,SI-1042,2024-08-17,Water,198240.0,80160.0,
LR-0017,ORL-1045-A,SI-1045,2024-06-15,Water,14305.99,5563.44,
LR-0018,ORL-1048-A,SI-1048,2024-06-15,Theft,11205.29,4357.61,
LR-0019,ORL-1051-A,SI-1051,2024-06-15,Wind,14341.76,5577.35,
LR-0020,ORL-1054-A,SI-1054,2024-06-15,Wind,8092.81,3147.2,
LR-0021,ORL-1057-A,SI-1057,2024-06-15,Theft,9633.77,3746.47,
LR-0022,ORL-1060-A,SI-1060,2024-06-15,Wind,4984.23,1938.31,
LR-0023,ORL-1063-A,SI-1063,2024-06-15,Water,8108.17,3153.18,
LR-0024,ORL-1066-A,SI-1066,2024-06-15,Theft,20447.56,7951.83,
LR-0025,ORL-1069-A,SI-1069,2024-06-15,Water,14513.88,5644.29,
LR-0026,ORL-1072-A,SI-1072,2024-06-15,Water,13299.91,5172.19,
LR-0027,ORL-1075-A,SI-1075,2024-06-15,Wind,14424.97,5609.71,
LR-0028,ORL-1078-A,SI-1078,2024-06-15,Theft,4625.69,1798.88,
LR-0029,ORL-1081-A,SI-1081,2024-06-15,Theft,13726.9,5338.24,
LR-0030,ORL-1084-A,SI-1084,2024-06-15,Water,11876.3,4618.56,
LR-0031,ORL-1088-B,SI-1088,2024-05-22,Wind,11240.0,3840.0,
LR-0032,ORL-1091-A,SI-1091,2024-06-15,Wind,22564.24,8774.98,
LR-0033,ORL-1094-A,SI-1094,2024-06-15,Wind,19456.09,7566.26,
LR-0034,ORL-1097-B,SI-1097,2024-12-06,Fire,28440.0,11880.0,
LR-0035,ORL-1100-A,SI-1100,2024-06-15,Water,7779.32,3025.29,
LR-0036,ORL-1103-A,SI-1103,2024-08-30,Wind,31880.0,14220.0,
LR-0037,ORL-1106-A,SI-1106,2024-06-15,Theft,4724.07,1837.14,
LR-0038,ORL-1109-A,SI-1109,2024-06-15,Theft,15603.49,6068.02,
LR-0039,ORL-1112-A,SI-1112,2024-06-15,Wind,14043.29,5461.28,
LR-0040,ORL-1156-A,SI-1156,2024-11-03,Fire,28440.0,9200.0,
LR-0041,ORL-1156-A,SI-1156,2024-07-19,Water,19880.0,0.0,
LR-0042,ORL-1156-B,SI-1156,2024-10-08,Wind,22110.0,15400.0,
LR-0043,ORL-1156-B,SI-1156,2024-04-30,Theft,12642.0,0.0,
LR-0044,ORL-1075-A,SI-1075,2024-09-26,Wind,318400.0,0.0,CAT-2419
