location_id,account_id,address_city,state,building_tiv,unit_count,subsidized_unit_count,protection_class,vacancy_flag,sprinkler_inspection_date,fire_alarm_inspection_date,pool_liability_flag,broker_confirmation
HAB-2001-A,GR-2001,Chicago,IL,6447696.0,94,0,4,N,2025-09-20,2025-09-06,N,yes
HAB-2001-B,GR-2001,Peoria,IL,5596182.0,89,0,5,N,2025-09-20,2025-09-13,N,yes
HAB-2004-A,GR-2004,Minneapolis,MN,5413418.0,33,0,3,N,2025-09-20,2025-09-23,N,yes
HAB-2004-B,GR-2004,Minneapolis,MN,4578850.0,34,0,5,N,2025-09-05,2025-09-05,N,yes
HAB-2007-A,GR-2007,Indianapolis,IN,5415014.0,48,0,5,N,2025-09-14,2025-09-19,N,yes
HAB-2007-B,GR-2007,Indianapolis,IN,4837199.0,49,0,2,N,2025-09-21,2025-09-14,N,yes
HAB-2010-A,GR-2010,Des Moines,IA,8306159.0,66,0,3,N,2025-09-05,2025-09-09,N,yes
HAB-2010-B,GR-2010,Des Moines,IA,7770591.0,62,0,5,N,2025-09-19,2025-09-22,N,yes
HAB-2013-A,GR-2013,Peoria,IL,5144071.0,75,0,4,N,2025-09-07,2025-09-17,N,yes
HAB-2013-B,GR-2013,Peoria,IL,5729824.0,88,0,4,N,2025-09-12,2025-09-05,N,yes
HAB-2016-A,GR-2016,Des Moines,IA,6461335.0,88,0,4,N,2025-09-08,2025-09-12,N,yes
HAB-2016-B,GR-2016,Des Moines,IA,7821725.0,84,0,4,N,2025-09-23,2025-09-18,N,yes
HAB-2018-A,GR-2018,Des Moines,IA,4748092.0,61,0,2,N,2025-09-18,2025-09-09,N,yes
HAB-2018-B,GR-2018,Des Moines,IA,4582248.0,51,0,5,N,2025-09-21,2025-09-06,N,yes
HAB-2021-A,GR-2021,Columbus,OH,4287179.0,54,0,3,N,2025-09-08,2025-09-15,N,yes
HAB-2021-B,GR-2021,Columbus,OH,4025326.0,55,0,5,N,2025-09-06,2025-09-23,N,yes
HAB-2024-A,GR-2024,Chicago,IL,6537485.0,53,0,4,N,2025-09-09,2025-09-16,N,yes
